"'"	1115
"''tis"	2
"'a"	11
"'advance"	1
"'after"	2
"'ah"	4
"'ahem"	1
"'alice"	1
"'all"	3
"'allow"	1
"'an"	1
"'and"	56
"'any"	1
"'anything"	1
"'are"	7
"'arrum"	1
"'as"	8
"'at"	3
"'back"	1
"'beautiful"	2
"'because"	3
"'begin"	1
"'behead"	1
"'besides"	1
"'boots"	1
"'bring"	1
"'but"	39
"'by"	1
"'call"	4
"'can"	1
"'can't"	1
"'catch"	1
"'certainly"	1
"'change"	1
"'cheshire"	1
"'chop"	1
"'chorus"	1
"'collar"	1
"'come"	15
"'consider"	3
"'creatures"	1
"'crumbs"	1
"'curiouser"	1
"'dear"	1
"'did"	3
"'digging"	1
"'dinah'll"	1
"'dinah's"	1
"'do"	8
"'does"	2
"'don't"	6
"'drink"	3
"'drive"	1
"'each"	1
"'eat"	1
"'either"	1
"'em"	3
"'everybody"	2
"'everything's"	1
"'exactly"	2
"'explain"	2
"'explanations"	1
"'fetch"	2
"'fifteenth"	1
"'first"	1
"'flamingoes"	1
"'for"	7
"'found"	2
"'fourteenth"	1
"'from"	1
"'fury"	1
"'get"	2
"'give"	3
"'go"	2
"'hadn't"	1
"'hand"	1
"'have"	3
"'he"	7
"'he's"	1
"'herald"	1
"'here"	3
"'his"	1
"'hjckrrh"	1
"'hm"	1
"'hold"	4
"'how"	16
"'however"	1
"'hush"	1
"'i"	126
"'i'd"	4
"'i'll"	5
"'i'm"	20
"'i've"	14
"'idiot"	1
"'if"	21
"'important"	2
"'in"	8
"'is"	4
"'it"	30
"'it'll"	1
"'it's"	24
"'jury"	1
"'just"	3
"'keep"	1
"'leave"	2
"'let"	3
"'let's"	2
"'lives"	2
"'living"	1
"'look"	1
"'mary"	1
"'may"	1
"'mine"	1
"'moral"	1
"'mouse"	1
"'my"	2
"'nearly"	1
"'never"	2
"'nine"	1
"'no"	13
"'nobody"	2
"'nonsense"	1
"'nor"	1
"'not"	11
"'nothing"	4
"'now"	10
"'o"	1
"'of"	12
"'off"	8
"'oh"	23
"'on"	1
"'once"	2
"'one"	5
"'only"	4
"'or"	6
"'orange"	1
"'ou"	1
"'pat"	1
"'pepper"	1
"'perhaps"	3
"'please"	4
"'poison"	2
"'poor"	1
"'pray"	1
"'prizes"	1
"'read"	1
"'really"	3
"'reeling"	1
"'repeat"	1
"'right"	1
"'rule"	1
"'same"	1
